"","part","term","statistic","m1_alldata.spring","m1_alldata.fall","m2_alldata.spring","m2_alldata.fall","m3_alldata.spring","m3_alldata.fall","m4_alldata.spring","m4_alldata.fall","m5_alldata.spring","m5_alldata.fall"
"1","estimates","(Intercept)","estimate","-1.802","-1.505","-1262.254","-2.986","-879.130","-1.727","-809.749","-1.652","-878.634","-1.624"
"2","estimates","(Intercept)","std.error","(0.472)","(0.535)","(1180451.181)","(0.564)","(1263581.961)","(0.596)","(1181603.641)","(0.452)","(1242712.741)","(0.455)"
"3","estimates","StateMA","estimate","","","1250.585","-2.424","867.557","-3.989","797.984","-2.984","867.581","-2.885"
"4","estimates","StateMA","std.error","","","(1180451.181)","(0.729)","(1263581.961)","(0.925)","(1181603.641)","(0.715)","(1242712.741)","(0.759)"
"5","estimates","StateRICTNY","estimate","","","1258.923","1.048","875.842","-0.556","805.676","-0.823","875.186","-0.673"
"6","estimates","StateRICTNY","std.error","","","(1180451.181)","(0.236)","(1263581.961)","(0.304)","(1181603.641)","(0.246)","(1242712.741)","(0.265)"
"7","estimates","StateNJ","estimate","","","1259.100","1.514","875.935","-0.076","805.356","-1.096","874.771","-0.922"
"8","estimates","StateNJ","std.error","","","(1180451.181)","(0.263)","(1263581.961)","(0.330)","(1181603.641)","(0.280)","(1242712.741)","(0.300)"
"9","estimates","StateDEMD","estimate","","","1260.174","2.126","877.063","0.566","806.441","-0.438","875.857","-0.233"
"10","estimates","StateDEMD","std.error","","","(1180451.181)","(0.236)","(1263581.961)","(0.304)","(1181603.641)","(0.254)","(1242712.741)","(0.273)"
"11","estimates","StateVA","estimate","","","1260.927","1.558","877.754","-0.144","806.992","-1.309","876.233","-1.138"
"12","estimates","StateVA","std.error","","","(1180451.181)","(0.236)","(1263581.961)","(0.306)","(1181603.641)","(0.255)","(1242712.741)","(0.275)"
"13","estimates","StateNC","estimate","","","1261.895","1.387","878.677","-0.410","808.210","-1.196","877.257","-1.017"
"14","estimates","StateNC","std.error","","","(1180451.181)","(0.242)","(1263581.961)","(0.316)","(1181603.641)","(0.261)","(1242712.741)","(0.285)"
"15","estimates","StateSCGAFL","estimate","","","1261.553","1.734","878.580","-0.064","807.898","-2.698","877.126","-2.406"
"16","estimates","StateSCGAFL","std.error","","","(1180451.181)","(0.337)","(1263581.961)","(0.423)","(1181603.641)","(1.130)","(1242712.741)","(1.129)"
"17","gof","Num.Obs.","","59811","42856","59811","42856","57188","39418","59321","37219","56943","34298"
"18","gof","R2","","0.526","0.579","0.536","0.584","0.539","0.587","0.540","0.613","0.541","0.610"
"19","gof","AIC","","30943.1","23685.7","34218.4","23046.9","34988.8","21721.6","34960.5","19137.3","36217.5","18468.9"
"20","gof","BIC","","31109.2","23831.9","34686.4","23539.5","35579.8","22275.0","35462.5","19613.4","36754.3","18927.1"
"21","gof","RMSE","","0.26","0.28","0.26","0.28","0.26","0.29","0.26","0.28","0.26","0.29"
